Time,Signal 1,Signal 2,Signal 3,Signal 4,Signal 5
11.83333333,0.00314438,-5.71E-05,0.022856104,-0.006067524,0.041453826
11.86666667,-0.000497761,-6.21E-05,0.019206333,-0.004405457,0.04012787
11.9,-0.004055553,-6.48E-05,0.015309659,-0.002702444,0.038196837
11.93333333,-0.007473451,-6.52E-05,0.011233627,-0.000990692,0.035699967
11.96666667,-0.010699354,-6.34E-05,0.007047568,0.000698195,0.032684852
12,-0.013685362,-5.96E-05,0.002821418,0.00233378,0.029206562
12.03333333,-0.016388442,-5.39E-05,-0.001375438,0.00388733,0.025326668
12.06666667,-0.018771012,-4.67E-05,-0.005475303,0.0053323,0.021112168
12.1,-0.020801418,-3.82E-05,-0.009413254,0.006644769,0.016634348
12.13333333,-0.022454317,-2.88E-05,-0.013128166,0.007803818,0.011967584
12.16666667,-0.023710938,-1.88E-05,-0.016563647,0.008791846,0.007188109
12.2,-0.024559247,-8.59E-06,-0.019668887,0.00959481,0.002372778
12.23333333,-0.024993996,1.45E-06,-0.022399395,0.010202405,-0.002402169
12.26666667,-0.025016662,1.10E-05,-0.024717612,0.010608159,-0.007062312
12.3,-0.024635288,1.98E-05,-0.026593413,0.010809465,-0.011536209
12.33333333,-0.023864216,2.75E-05,-0.028004454,0.010807534,-0.015756489
12.36666667,-0.022723734,3.40E-05,-0.028936408,0.010607285,-0.019660863
12.4,-0.021239627,3.91E-05,-0.02938304,0.010217162,-0.023193037
12.43333333,-0.019442663,4.26E-05,-0.029346163,0.009648896,-0.026303517
12.46666667,-0.017367999,4.45E-05,-0.028835457,0.008917213,-0.028950286
12.5,-0.015054534,4.48E-05,-0.027868155,0.008039487,-0.031099354
12.53333333,-0.012544218,4.36E-05,-0.026468617,0.007035357,-0.032725172
12.56666667,-0.009881325,4.10E-05,-0.02466779,0.005926314,-0.033810901
12.6,-0.007111698,3.71E-05,-0.022502575,0.004735259,-0.034348531
12.63333333,-0.004281995,3.21E-05,-0.020015101,0.003486047,-0.034338868
12.66666667,-0.001438923,2.63E-05,-0.017251932,0.002203026,-0.033791367
12.7,0.001371501,1.98E-05,-0.014263216,0.000910577,-0.032723837
12.73333333,0.004104676,1.29E-05,-0.011101788,-0.000367336,-0.031162016
12.76666667,0.006718098,5.87E-06,-0.007822255,-0.001607598,-0.029139019
12.8,0.009172001,-1.04E-06,-0.004480063,-0.002788342,-0.026694686
12.83333333,0.01142994,-7.60E-06,-0.001130573,-0.00388933,-0.023874828
12.86666667,0.013459311,-1.36E-05,0.002171841,-0.004892277,-0.020730392
12.9,0.015231799,-1.89E-05,0.005374666,-0.005781145,-0.017316558
12.93333333,0.016723756,-2.33E-05,0.008428061,-0.006542381,-0.013691788
12.96666667,0.017916488,-2.68E-05,0.011285624,-0.007165106,-0.009916832
13,0.018796467,-2.91E-05,0.013905073,-0.007641249,-0.006053723
13.03333333,0.019355453,-3.04E-05,0.016248852,-0.00796563,-0.002164767
